event_name,upsell_date,new_renewal_cycle,membership_id,membership_amount,currency,renews_at,new_plan,churn_date,cancellation_date,log_creation_time
MembershipUpdated,,,15,499,USD,,,,,"December 4, 2019"
MembershipRenewed,,,21,,USD,2020-02-01T00:00:00+0000,,,,"December 5, 2019"
MembershipUpdated,,,14,,USD,2020-03-06T00:00:00+0000,,,,"December 6, 2019"
MembershipRenewed,,,14,,USD,2020-03-06T00:00:00+0000,,,,"December 6, 2019"
MembershipActivated,,,13,499,USD,2020-03-10T00:00:00+0000,,,,"December 10, 2019"
MembershipRenewed,,,13,,USD,2020-03-10T00:00:00+0000,,,,"December 10, 2019"
MembershipActivated,,,25,499,USD,2020-03-12T09:00:00+0000,,,,"December 12, 2019"
MembershipUpdated,,,25,499,USD,2020-03-01T00:00:00+0000,,,,"December 12, 2019"
MembershipRenewed,,,7,,USD,2020-01-15T00:00:00+0000,,,,"December 18, 2019"
MembershipRenewed,,1,21,,USD,2020-02-01T00:00:00+0000,,,,"December 19, 2019"
MembershipUpdated,,,2,499,DKK,2020-03-13T00:00:00+0000,,,,"December 19, 2019"
MembershipUpdated,,,2,499,DKK,2020-03-01T00:00:00+0000,,,,"December 19, 2019"
MembershipRenewed,,,19,,USD,2020-02-19T00:00:00+0000,,,,"December 20, 2019"
MembershipUpdated,,,15,,USD,2020-03-25T07:00:00+0000,,,,"December 25, 2019"
MembershipRenewed,,,15,,USD,2020-03-25T07:00:00+0000,,,,"December 25, 2019"
MembershipUpdated,,,16,,USD,2020-03-25T07:00:00+0000,,,,"December 25, 2019"
MembershipRenewed,,,16,,USD,2020-03-25T07:00:00+0000,,,,"December 25, 2019"
MembershipCancelled,,,16,,USD,,,,,"December 25, 2019"
MembershipRenewed,,,2,,DKK,2020-03-01T00:00:00+0000,,,,"December 27, 2019"
MembershipRenewed,,1,19,,USD,2020-02-19T00:00:00+0000,,,,"December 30, 2019"
MembershipUpdated,,,1,,USD,2020-02-01T00:00:00+0000,,,,"January 1, 2020"
MembershipRenewed,,,1,,USD,2020-02-01T00:00:00+0000,,,,"January 1, 2020"
MembershipUpdated,,,5,,USD,2020-04-01T00:00:00+0000,,,,"January 1, 2020"
MembershipRenewed,,,5,,USD,2020-04-01T00:00:00+0000,,,,"January 1, 2020"
MembershipActivated,,,67,499,USD,2020-04-17T00:00:00+0000,,,,"January 6, 2020"
MembershipUpdated,,,67,499,USD,2020-03-17T00:00:00+0000,,,,"January 6, 2020"
MembershipRenewed,,1,19,,USD,2020-02-19T00:00:00+0000,,,,"January 12, 2020"
MembershipRenewed,,,21,,USD,2020-02-01T00:00:00+0000,,,,"January 13, 2020"
MembershipUpdated,,,67,499,USD,2020-03-01T00:00:00+0000,,,,"January 13, 2020"
MembershipUpdated,,,7,,USD,2020-04-15T00:00:00+0000,,,,"January 15, 2020"
MembershipRenewed,,,7,,USD,2020-04-15T00:00:00+0000,,,,"January 15, 2020"
MembershipUpdated,,,12,,USD,2020-04-15T00:00:00+0000,,,,"January 15, 2020"
MembershipRenewed,,,12,,USD,2020-04-15T00:00:00+0000,,,,"January 15, 2020"
MembershipRenewed,,,20,,USD,2020-02-01T00:00:00+0000,,,,"January 28, 2020"
MembershipRenewed,,1,19,,USD,2020-02-19T00:00:00+0000,,,,"January 29, 2020"
MembershipActivated,,,70,499,USD,2020-03-01T00:00:00+0000,,,,"January 31, 2020"
MembershipUpdated,,,70,499,USD,2020-02-01T00:00:00+0000,,,,"January 31, 2020"
MembershipUpdated,,,70,499,USD,,,,,"January 31, 2020"
MembershipRenewed,,,67,,USD,2020-03-01T00:00:00+0000,,,,"January 31, 2020"
MembershipUpdated,,,1,,USD,2020-03-01T00:00:00+0000,,,,"February 1, 2020"
MembershipRenewed,,,1,,USD,2020-03-01T00:00:00+0000,,,,"February 1, 2020"
MembershipUpdated,,,20,,USD,2020-05-01T00:00:00+0000,,,,"February 1, 2020"
MembershipRenewed,,,20,,USD,2020-05-01T00:00:00+0000,,,,"February 1, 2020"
MembershipUpdated,,,21,,USD,2020-05-01T00:00:00+0000,,,,"February 1, 2020"
MembershipRenewed,,,21,,USD,2020-05-01T00:00:00+0000,,,,"February 1, 2020"
MembershipActivated,,,70,499,USD,2020-05-01T00:00:00+0000,,,,"February 1, 2020"
MembershipRenewed,,,70,,USD,2020-05-01T00:00:00+0000,,,,"February 1, 2020"
MembershipActivated,,,71,499,USD,2020-05-01T00:00:00+0000,,,,"February 3, 2020"
MembershipUpdated,,,21,499,USD,,,,,"February 3, 2020"
MembershipRenewed,,1,19,,USD,2020-02-19T00:00:00+0000,,,,"February 5, 2020"
MembershipRenewed,,,14,,USD,2020-03-06T00:00:00+0000,,,,"February 11, 2020"
MembershipActivated,,,73,499,USD,2020-05-28T00:00:00+0000,,,,"February 13, 2020"
MembershipUpdated,,,73,499,USD,2020-04-28T00:00:00+0000,,,,"February 13, 2020"
MembershipUpdated,,,23,,USD,2020-05-18T00:00:00+0000,,,,"February 18, 2020"
MembershipRenewed,,,23,,USD,2020-05-18T00:00:00+0000,,,,"February 18, 2020"
MembershipRenewed,,,19,,USD,2020-02-19T00:00:00+0000,,,,"February 18, 2020"
MembershipUpdated,,,19,,USD,2020-05-19T00:00:00+0000,,,,"February 19, 2020"
MembershipRenewed,,,19,,USD,2020-05-19T00:00:00+0000,,,,"February 19, 2020"
MembershipRenewed,,,18,,USD,2019-12-25T08:00:00+0000,,,,"February 23, 2020"
MembershipActivated,,,74,499,USD,2020-05-24T00:00:00+0000,,,,"February 24, 2020"
MembershipActivated,,,75,499,USD,2020-05-14T00:00:00+0000,,,,"February 26, 2020"
MembershipCancelled,,,13,,USD,,,,,"February 26, 2020"
MembershipUpdated,,,71,499,USD,,,,,"February 27, 2020"
MembershipUpdated,,,74,499,USD,,,,,"February 27, 2020"
MembershipUpdated,,,73,499,USD,,,,,"February 27, 2020"
MembershipRenewed,,,14,,USD,2020-03-06T00:00:00+0000,,,,"February 28, 2020"
MembershipUpdated,,,1,,USD,2020-04-01T00:00:00+0000,,,,"March 1, 2020"
MembershipRenewed,,,1,,USD,2020-04-01T00:00:00+0000,,,,"March 1, 2020"
MembershipUpdated,,,2,,DKK,2020-06-01T00:00:00+0000,,,,"March 1, 2020"
MembershipRenewed,,,2,,DKK,2020-06-01T00:00:00+0000,,,,"March 1, 2020"
