event_name,upsell_date,new_renewal_cycle,membership_id,membership_amount,currency,renews_at,new_plan,churn_date,cancellation_date,log_creation_time,charge_amount_usd
MembershipUpdated,,,15,499.0,USD,,,,,2019-12-04,499.0
MembershipRenewed,,,21,,USD,2020-02-01 00:00:00+00:00,,,,2019-12-05,
MembershipUpdated,,,14,,USD,2020-03-06 00:00:00+00:00,,,,2019-12-06,
MembershipRenewed,,,14,,USD,2020-03-06 00:00:00+00:00,,,,2019-12-06,
MembershipActivated,,,13,499.0,USD,2020-03-10 00:00:00+00:00,,,,2019-12-10,499.0
MembershipRenewed,,,13,,USD,2020-03-10 00:00:00+00:00,,,,2019-12-10,
MembershipActivated,,,25,499.0,USD,2020-03-12 09:00:00+00:00,,,,2019-12-12,499.0
MembershipUpdated,,,25,499.0,USD,2020-03-01 00:00:00+00:00,,,,2019-12-12,499.0
MembershipRenewed,,,7,,USD,2020-01-15 00:00:00+00:00,,,,2019-12-18,
MembershipRenewed,,1.0,21,,USD,2020-02-01 00:00:00+00:00,,,,2019-12-19,
MembershipUpdated,,,2,499.0,DKK,2020-03-13 00:00:00+00:00,,,,2019-12-19,74.85
MembershipUpdated,,,2,499.0,DKK,2020-03-01 00:00:00+00:00,,,,2019-12-19,74.85
MembershipRenewed,,,19,,USD,2020-02-19 00:00:00+00:00,,,,2019-12-20,
MembershipUpdated,,,15,,USD,2020-03-25 07:00:00+00:00,,,,2019-12-25,
MembershipRenewed,,,15,,USD,2020-03-25 07:00:00+00:00,,,,2019-12-25,
MembershipUpdated,,,16,,USD,2020-03-25 07:00:00+00:00,,,,2019-12-25,
MembershipRenewed,,,16,,USD,2020-03-25 07:00:00+00:00,,,,2019-12-25,
MembershipCancelled,,,16,,USD,,,,,2019-12-25,
MembershipRenewed,,,2,,DKK,2020-03-01 00:00:00+00:00,,,,2019-12-27,
MembershipRenewed,,1.0,19,,USD,2020-02-19 00:00:00+00:00,,,,2019-12-30,
MembershipUpdated,,,1,,USD,2020-02-01 00:00:00+00:00,,,,2020-01-01,
MembershipRenewed,,,1,,USD,2020-02-01 00:00:00+00:00,,,,2020-01-01,
MembershipUpdated,,,5,,USD,2020-04-01 00:00:00+00:00,,,,2020-01-01,
MembershipRenewed,,,5,,USD,2020-04-01 00:00:00+00:00,,,,2020-01-01,
MembershipActivated,,,67,499.0,USD,2020-04-17 00:00:00+00:00,,,,2020-01-06,499.0
MembershipUpdated,,,67,499.0,USD,2020-03-17 00:00:00+00:00,,,,2020-01-06,499.0
MembershipRenewed,,1.0,19,,USD,2020-02-19 00:00:00+00:00,,,,2020-01-12,
MembershipRenewed,,,21,,USD,2020-02-01 00:00:00+00:00,,,,2020-01-13,
MembershipUpdated,,,67,499.0,USD,2020-03-01 00:00:00+00:00,,,,2020-01-13,499.0
MembershipUpdated,,,7,,USD,2020-04-15 00:00:00+00:00,,,,2020-01-15,
MembershipRenewed,,,7,,USD,2020-04-15 00:00:00+00:00,,,,2020-01-15,
MembershipUpdated,,,12,,USD,2020-04-15 00:00:00+00:00,,,,2020-01-15,
MembershipRenewed,,,12,,USD,2020-04-15 00:00:00+00:00,,,,2020-01-15,
MembershipRenewed,,,20,,USD,2020-02-01 00:00:00+00:00,,,,2020-01-28,
MembershipRenewed,,1.0,19,,USD,2020-02-19 00:00:00+00:00,,,,2020-01-29,
MembershipActivated,,,70,499.0,USD,2020-03-01 00:00:00+00:00,,,,2020-01-31,499.0
MembershipUpdated,,,70,499.0,USD,2020-02-01 00:00:00+00:00,,,,2020-01-31,499.0
MembershipUpdated,,,70,499.0,USD,,,,,2020-01-31,499.0
MembershipRenewed,,,67,,USD,2020-03-01 00:00:00+00:00,,,,2020-01-31,
MembershipUpdated,,,1,,USD,2020-03-01 00:00:00+00:00,,,,2020-02-01,
MembershipRenewed,,,1,,USD,2020-03-01 00:00:00+00:00,,,,2020-02-01,
MembershipUpdated,,,20,,USD,2020-05-01 00:00:00+00:00,,,,2020-02-01,
MembershipRenewed,,,20,,USD,2020-05-01 00:00:00+00:00,,,,2020-02-01,
MembershipUpdated,,,21,,USD,2020-05-01 00:00:00+00:00,,,,2020-02-01,
MembershipRenewed,,,21,,USD,2020-05-01 00:00:00+00:00,,,,2020-02-01,
MembershipActivated,,,70,499.0,USD,2020-05-01 00:00:00+00:00,,,,2020-02-01,499.0
MembershipRenewed,,,70,,USD,2020-05-01 00:00:00+00:00,,,,2020-02-01,
MembershipActivated,,,71,499.0,USD,2020-05-01 00:00:00+00:00,,,,2020-02-03,499.0
MembershipUpdated,,,21,499.0,USD,,,,,2020-02-03,499.0
MembershipRenewed,,1.0,19,,USD,2020-02-19 00:00:00+00:00,,,,2020-02-05,
MembershipRenewed,,,14,,USD,2020-03-06 00:00:00+00:00,,,,2020-02-11,
MembershipActivated,,,73,499.0,USD,2020-05-28 00:00:00+00:00,,,,2020-02-13,499.0
MembershipUpdated,,,73,499.0,USD,2020-04-28 00:00:00+00:00,,,,2020-02-13,499.0
MembershipUpdated,,,23,,USD,2020-05-18 00:00:00+00:00,,,,2020-02-18,
MembershipRenewed,,,23,,USD,2020-05-18 00:00:00+00:00,,,,2020-02-18,
MembershipRenewed,,,19,,USD,2020-02-19 00:00:00+00:00,,,,2020-02-18,
MembershipUpdated,,,19,,USD,2020-05-19 00:00:00+00:00,,,,2020-02-19,
MembershipRenewed,,,19,,USD,2020-05-19 00:00:00+00:00,,,,2020-02-19,
MembershipRenewed,,,18,,USD,2019-12-25 08:00:00+00:00,,,,2020-02-23,
MembershipActivated,,,74,499.0,USD,2020-05-24 00:00:00+00:00,,,,2020-02-24,499.0
MembershipActivated,,,75,499.0,USD,2020-05-14 00:00:00+00:00,,,,2020-02-26,499.0
MembershipCancelled,,,13,,USD,,,,,2020-02-26,
MembershipUpdated,,,71,499.0,USD,,,,,2020-02-27,499.0
MembershipUpdated,,,74,499.0,USD,,,,,2020-02-27,499.0
MembershipUpdated,,,73,499.0,USD,,,,,2020-02-27,499.0
MembershipRenewed,,,14,,USD,2020-03-06 00:00:00+00:00,,,,2020-02-28,
MembershipUpdated,,,1,,USD,2020-04-01 00:00:00+00:00,,,,2020-03-01,
MembershipRenewed,,,1,,USD,2020-04-01 00:00:00+00:00,,,,2020-03-01,
MembershipUpdated,,,2,,DKK,2020-06-01 00:00:00+00:00,,,,2020-03-01,
MembershipRenewed,,,2,,DKK,2020-06-01 00:00:00+00:00,,,,2020-03-01,
MembershipUpdated,,,6,,USD,2020-06-01 00:00:00+00:00,,,,2020-03-01,
MembershipRenewed,,,6,,USD,2020-06-01 00:00:00+00:00,,,,2020-03-01,
MembershipUpdated,,,8,,USD,2020-06-01 00:00:00+00:00,,,,2020-03-01,
MembershipRenewed,,,8,,USD,2020-06-01 00:00:00+00:00,,,,2020-03-01,
MembershipUpdated,,,25,,USD,2020-06-01 00:00:00+00:00,,,,2020-03-01,
MembershipRenewed,,,25,,USD,2020-06-01 00:00:00+00:00,,,,2020-03-01,
MembershipUpdated,,,67,,USD,2020-06-17 00:00:00+00:00,,,,2020-03-01,
MembershipRenewed,,,67,,USD,2020-06-17 00:00:00+00:00,,,,2020-03-01,
MembershipActivated,,,76,499.0,USD,2020-06-17 00:00:00+00:00,,,,2020-03-03,499.0
MembershipActivated,,,77,499.0,USD,2020-06-03 13:00:00+00:00,,,,2020-03-03,499.0
MembershipRenewed,,,14,,USD,2020-03-06 00:00:00+00:00,,,,2020-03-04,
MembershipActivated,,,78,499.0,USD,2020-06-04 00:00:00+00:00,,,,2020-03-05,499.0
MembershipUpdated,,,14,,USD,2020-06-06 00:00:00+00:00,,,,2020-03-06,
MembershipRenewed,,,14,,USD,2020-06-06 00:00:00+00:00,,,,2020-03-06,
MembershipRenewed,,,15,,USD,2020-03-25 07:00:00+00:00,,,,2020-03-17,
MembershipActivated,,,79,499.0,USD,2020-06-01 00:00:00+00:00,,,,2020-03-18,499.0
MembershipActivated,,,80,499.0,USD,2020-06-16 00:00:00+00:00,,,,2020-03-19,499.0
MembershipRenewed,,,20,,USD,2020-05-01 00:00:00+00:00,,,,2020-03-20,
MembershipRenewed,,,18,,USD,2019-12-25 08:00:00+00:00,,,,2020-03-23,
MembershipUpdated,,,15,,USD,2020-06-25 07:00:00+00:00,,,,2020-03-25,
