charge_amount,currency,membership_id,description_event,discount,status,message,triggered_by,payment_method,transaction_datetime,charge_amount_usd
1123.75,DKK,2,membership payment,0,Success,Success,system,PaymentCard,2019-05-15,168.5625
999.0,USD,1,membership payment,0,Success,Success,system,PaymentCard,2019-06-07,999.0
3209.43,USD,7,membership payment,0,Success,Success,system,PaymentCard,2019-07-09,3209.43
6291.0,USD,5,membership payment,0,Success,Success,system,PaymentCard,2019-08-09,6291.0
1497.0,USD,4,membership payment,0,Success,Success,system,PaymentCard,2019-09-04,1497.0
2097.0,USD,5,membership payment,0,Success,Success,system,PaymentCard,2019-09-04,2097.0
3371.25,USD,6,membership payment,0,Success,Success,system,PaymentCard,2019-09-04,3371.25
1497.0,USD,8,membership payment,0,Success,Success,system,PaymentCard,2019-09-04,1497.0
2247.5,DKK,2,membership payment,0,Success,Success,system,PaymentCard,2019-10-08,337.125
1497.0,USD,17,membership payment,0,Success,Success,system,PaymentCard,2019-10-22,1497.0
3371.25,DKK,2,membership payment,0,Success,Success,system,PaymentCard,2019-11-12,505.6875
1497.0,USD,15,membership payment,0,Success,Success,system,PaymentCard,2019-11-19,1497.0
1497.0,USD,20,membership payment,0,Success,Success,system,PaymentCard,2019-11-19,1497.0
499.0,USD,1,membership payment,0,Success,Success,system,PaymentCard,2019-11-22,499.0
499.0,USD,1,membership payment,0,Success,Success,system,PaymentCard,2019-11-22,499.0
499.0,USD,1,membership payment,0,Success,Success,system,PaymentCard,2019-11-22,499.0
1497.0,USD,12,membership payment,0,Success,Success,system,PaymentCard,2019-11-22,1497.0
1497.0,USD,19,membership payment,0,Success,Success,system,PaymentCard,2019-11-28,1497.0
499.0,USD,19,membership payment,0,Success,Success,system,PaymentCard,2019-11-28,499.0
499.0,USD,19,membership payment,0,Success,Success,system,PaymentCard,2019-11-28,499.0
3371.25,USD,6,membership payment,0,Success,Success,system,PaymentCard,2019-12-03,3371.25
3371.25,DKK,2,membership payment,0,Success,Success,system,PaymentCard,2019-12-10,505.6875
1497.0,USD,7,membership payment,0,Success,Success,system,PaymentCard,2019-12-10,1497.0
3371.25,DKK,2,membership payment,0,Success,Success,system,PaymentCard,2019-12-10,505.6875
2097.0,USD,5,membership payment,0,Success,Success,system,PaymentCard,2019-12-17,2097.0
1497.0,USD,21,membership payment,0,Success,Success,system,PaymentCard,2019-12-17,1497.0
1497.0,USD,18,membership payment,0,Success,Success,system,PaymentCard,2019-12-24,1497.0
499.0,USD,19,membership payment,0,Success,Success,system,PaymentCard,2020-01-03,499.0
499.0,USD,19,membership payment,0,Success,Success,system,PaymentCard,2020-01-03,499.0
499.0,USD,21,membership payment,0,Success,Success,system,PaymentCard,2020-01-14,499.0
999.0,USD,14,membership payment,0,Success,Success,system,PaymentCard,2020-01-22,999.0
499.0,USD,1,membership payment,0,Success,Success,system,PaymentCard,2020-01-22,499.0
499.0,USD,1,membership payment,0,Success,Success,system,PaymentCard,2020-01-22,499.0
1497.0,USD,8,membership payment,0,Success,Success,system,PaymentCard,2020-01-28,1497.0
